DateTime,AddedIPs,RemovedIPs
1592045301,2,3
1592067370,1,3
1592089465,2,55
1592111311,1,16
1592133380,2,5
1592155480,2,4
1592177552,73,3
1592199661,9,7
1592221783,3,2
1592243787,2,2
1592265860,4,1
1592287964,4,3
1592310015,4,0
1592331872,5,1
1592353948,2,6
1592376043,4,3
1592398122,1,985
1592420171,45,1163
1592442069,1,2
1592464123,0,2
1592486176,2,1
1592508023,1,1
1592530105,2,1
1592551953,0,1
1592574051,1,2
1592596094,0,1
1592617941,3,1
1592640081,1,2
1592661954,2,1
1592683939,2,2
1592705785,3,1
1592727905,13,1
1592749952,4,3
1592771796,24,15
1592793675,16,44
1592815705,0,2
1592837556,2,1
1592859400,0,1
1592881647,2,0
1592903563,2,1
1592925615,3,3
1592947698,3,2
1592969552,2,1
1592991619,6,2
1593013460,2,1
1593035354,1,1
1593057198,0,2
1593079478,2,0
1593101326,2,1
1593123383,1,1
1593167303,2,0
1593189169,1,0
1593211218,0,2
1593233321,1,1
1593255375,1,2
1593299111,2,2
1593321142,1,15
1593343242,3,3
1593365293,1,1
1593387136,3,2
1593408996,2,7
1593431053,0,4
1593452914,2,0
1593475006,3,1
1593497126,5,1
1593519184,1,1
1593541064,1,1
1593563060,1,60
1593585395,3,0
1593607240,2,5
1593629356,1,0
1593651396,1,1
1593673486,0,1
1593695337,1,1
1593717198,4,1
1593761291,0,2
1593783207,0,4
1593805304,2,0
1593827321,3,2
1593882264,3,4
1593904360,1,1
1593926414,3,8
1593948258,1,1
1593970359,0,3
1593992200,2,1
1594014290,1,3
1594036132,5,1
1594058173,1,1
1594080157,2,2
1594102139,4,0
1594124175,0,2
1594146044,1,2
1594168145,5,4
1594190124,2,1
1594212018,4,2
1594233877,2,40
1594255931,1,1
1594277882,1,1
1594299879,0,1
1594321969,0,4
1594344040,5,3
1594365890,2,0
1594387967,2,5
1594410016,4,10
1594431884,17,2
1594453950,7,0
1594476272,6,4
1594498360,2,3
1594520209,29,1
1594542269,3,3
1594586442,2,1
1594630355,3,2
1594652207,2,3
1594674285,5,1
1594696743,0,1
1594718716,2,3
1594740737,1,1
1594762853,1,1
1594784930,3,1
1594806995,1,0
1594829175,0,1
1594851173,1,0
1594873238,1,0
1594895091,1,0
1594917163,3,0
1594939009,1,5
1594961087,3,3
1594983142,1,0
1595005418,0,2
1595027292,2,2
1595049170,1,13
1595071225,0,7
1595093096,0,2
1595115136,0,2
1595137036,11,0
1595159077,7,6
1595180927,2,0
1595202974,5,8
1595225054,9,2
1595246903,1,4
1595268777,1,0
1595312712,0,1
1595356606,2,0
1595378682,2,0
1595400733,3,1
1595444657,1,1
1595466502,0,1
1595488463,357,32
